RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
394822,447,"Manitowoc, WI",msa,WI,115010.0,113691.0,109101.0,105117.0,106093.0,109824.0,123792.0,127379.0,130620.0,118430.0,117104.0,116938.0,120007.0,119578.0,121541.0,128532.0,130201.0,125353.0,114045.0,117161.0,123921.0,132014.0,129234.0,124866.0,126098.0,125288.0,131751.0,133961.0,137500.0,136289.0,140547.0,143707.0,151782.0,150959.0,154207.0,150378.0,150493.0,153194.0,151849.0,149478.0,144925.0,143687.0,152478.0,158785.0,159829.0,157926.0,157095.0,158196.0,157054.0,161492.0,164039.0,163715.0,168206.0
395077,448,"Searcy, AR",msa,AR,124746.0,122095.0,127056.0,130156.0,122639.0,115984.0,105187.0,119389.0,119069.0,127135.0,126433.0,131071.0,128959.0,126256.0,128303.0,130163.0,133004.0,123909.0,129242.0,128764.0,133999.0,135108.0,135691.0,137529.0,134756.0,137697.0,141518.0,146732.0,147846.0,146571.0,147830.0,144343.0,147821.0,153136.0,154986.0,154386.0,155737.0,156321.0,163334.0,162168.0,163510.0,165290.0,160710.0,166611.0,161956.0,167223.0,171671.0,173168.0,167148.0,162997.0,162876.0,173974.0,184703.0
394541,449,"DuBois, PA",msa,PA,93337.0,86628.0,84925.0,79653.0,82388.0,84978.0,97424.0,97878.0,96042.0,87222.0,88205.0,85893.0,82994.0,83761.0,84178.0,83352.0,81266.0,80810.0,90732.0,93746.0,96260.0,101333.0,99338.0,102038.0,97450.0,105146.0,103955.0,107419.0,113248.0,125908.0,113811.0,108031.0,92003.0,100240.0,99859.0,103554.0,103961.0,107764.0,105623.0,107562.0,107298.0,122402.0,125848.0,124767.0,117637.0,119626.0,125731.0,133160.0,136425.0,139956.0,131680.0,126397.0,117213.0
753881,450,"Glenwood Springs, CO",msa,CO,380904.0,401130.0,427036.0,435398.0,418788.0,391538.0,387155.0,399672.0,407618.0,415869.0,403724.0,408702.0,402828.0,407452.0,408890.0,417099.0,445096.0,448214.0,463960.0,455632.0,463372.0,431840.0,418059.0,435502.0,477962.0,532084.0,546567.0,564150.0,601394.0,607166.0,618683.0,587200.0,563482.0,542499.0,512302.0,540995.0,573809.0,619519.0,614852.0,573698.0,519437.0,495612.0,494883.0,494395.0,485058.0,481912.0,505848.0,543785.0,575284.0,564425.0,578469.0,572373.0,565450.0
394994,451,"Port Angeles, WA",msa,WA,284004.0,275699.0,274599.0,285260.0,280998.0,284499.0,271266.0,283064.0,274934.0,282769.0,282080.0,290983.0,300947.0,298562.0,296615.0,305562.0,308963.0,312576.0,295108.0,314238.0,323521.0,339560.0,333240.0,336721.0,341133.0,346720.0,348476.0,356640.0,353113.0,354922.0,364421.0,384407.0,399296.0,420637.0,428783.0,436540.0,430208.0,447821.0,468389.0,476295.0,480187.0,482797.0,481646.0,480004.0,473805.0,478641.0,480047.0,505784.0,511764.0,510714.0,483400.0,488397.0,474049.0
394674,452,"Heber, UT",msa,UT,666247.0,618352.0,617068.0,636973.0,667298.0,677438.0,672650.0,676877.0,679193.0,658414.0,638843.0,596120.0,604655.0,636389.0,680789.0,699667.0,721835.0,684165.0,661295.0,643721.0,648745.0,640005.0,665461.0,721360.0,793738.0,814724.0,846581.0,906692.0,932142.0,942433.0,845274.0,837600.0,857564.0,889306.0,911315.0,910010.0,975301.0,990150.0,970008.0,950573.0,975310.0,944734.0,916470.0,953981.0,1065399.0,1148679.0,1179807.0,1184239.0,1116490.0,1039928.0,973643.0,979202.0,948440.0
753893,456,"Jefferson, GA",msa,GA,210813.0,209587.0,213758.0,208772.0,201736.0,197021.0,205403.0,216175.0,224532.0,224829.0,225879.0,224960.0,226273.0,220405.0,221903.0,223145.0,235897.0,235379.0,238343.0,239735.0,240106.0,242049.0,245099.0,250650.0,256863.0,256939.0,259257.0,260094.0,269348.0,272391.0,274475.0,271793.0,273366.0,273504.0,280234.0,288323.0,300080.0,309508.0,315922.0,317311.0,323847.0,330016.0,338865.0,338873.0,344489.0,349021.0,356099.0,356771.0,363718.0,360615.0,354228.0,346353.0,339544.0
394350,457,"Auburn, NY",msa,NY,124413.0,132884.0,132319.0,128448.0,118907.0,124062.0,130892.0,124777.0,130827.0,127215.0,139111.0,133076.0,127453.0,126130.0,126459.0,135707.0,138466.0,135876.0,136988.0,130238.0,135482.0,136691.0,137848.0,131970.0,134880.0,136849.0,144236.0,144702.0,153408.0,154449.0,153213.0,151431.0,146161.0,145717.0,141425.0,154148.0,160580.0,165750.0,158702.0,157372.0,162193.0,165856.0,159999.0,166547.0,163572.0,172839.0,171009.0,169800.0,165841.0,163675.0,165088.0,161981.0,170375.0
394936,459,"Olean, NY",msa,NY,82684.0,84830.0,86341.0,91049.0,85561.0,89460.0,95070.0,100310.0,95052.0,88299.0,86700.0,92916.0,97124.0,94531.0,92554.0,89843.0,87805.0,85809.0,83986.0,91977.0,101486.0,112371.0,116573.0,120392.0,121738.0,129400.0,130664.0,135575.0,129025.0,135832.0,123182.0,122317.0,121917.0,132469.0,138776.0,133652.0,131834.0,127114.0,128051.0,140408.0,144588.0,141945.0,130217.0,121828.0,117989.0,118541.0,133246.0,139424.0,136222.0,133614.0,136725.0,139899.0,129853.0
394593,460,"Findlay, OH",msa,OH,150676.0,144461.0,144318.0,152655.0,156308.0,163875.0,162412.0,156715.0,150169.0,149078.0,150721.0,156034.0,159180.0,160704.0,161030.0,156073.0,162729.0,156789.0,152306.0,156038.0,154045.0,160172.0,146889.0,151135.0,154532.0,166547.0,163507.0,169599.0,159122.0,166383.0,158142.0,164021.0,166463.0,170714.0,175617.0,175146.0,173591.0,173033.0,166047.0,174901.0,169899.0,174644.0,172351.0,175871.0,178759.0,177096.0,179762.0,182952.0,190749.0,187027.0,186279.0,180744.0,187118.0
394516,462,"Danville, IL",msa,IL,71430.0,69532.0,71806.0,68204.0,70078.0,64241.0,64885.0,64058.0,66433.0,71178.0,71540.0,71063.0,67387.0,67447.0,70192.0,70431.0,76246.0,76471.0,74714.0,70121.0,78646.0,80547.0,80117.0,74117.0,81220.0,84176.0,84753.0,77983.0,69976.0,68940.0,72157.0,78403.0,75371.0,78003.0,79221.0,86270.0,88704.0,89802.0,89043.0,88987.0,94151.0,96099.0,92986.0,89122.0,86944.0,88097.0,95057.0,100509.0,100622.0,93771.0,92808.0,88480.0,91069.0
394955,463,"Palatka, FL",msa,FL,118837.0,121799.0,121629.0,122680.0,117082.0,112953.0,132427.0,139731.0,146071.0,135735.0,134680.0,128752.0,131358.0,139907.0,148566.0,143167.0,143026.0,142038.0,137525.0,144165.0,160314.0,176519.0,169103.0,161670.0,151833.0,161740.0,160763.0,165353.0,169426.0,172894.0,175349.0,173717.0,164395.0,164618.0,163711.0,166238.0,168501.0,163199.0,166274.0,164945.0,161768.0,166004.0,170523.0,197529.0,198544.0,214173.0,197426.0,196243.0,200487.0,199638.0,210338.0,188902.0,201968.0
395010,464,"Quincy, IL",msa,IL,116535.0,115788.0,110366.0,115314.0,120680.0,118201.0,113350.0,112764.0,116282.0,123175.0,120557.0,122923.0,120689.0,120996.0,121792.0,124390.0,132057.0,135905.0,137665.0,136578.0,135197.0,126900.0,121660.0,118637.0,122282.0,125836.0,134043.0,137228.0,139541.0,134681.0,140029.0,136232.0,135126.0,135136.0,135170.0,136369.0,131814.0,135202.0,129629.0,132831.0,131114.0,137154.0,136315.0,137922.0,138782.0,142856.0,148841.0,148757.0,144892.0,141119.0,143679.0,146110.0,153487.0
394999,465,"Portsmouth, OH",msa,OH,,,,,,,94112.0,85558.0,85312.0,80956.0,92662.0,91548.0,83758.0,73407.0,74809.0,83317.0,101675.0,99641.0,101397.0,79520.0,91891.0,96310.0,115371.0,109054.0,106077.0,97167.0,92827.0,99003.0,103458.0,107606.0,106294.0,102918.0,107348.0,114890.0,121074.0,123423.0,116832.0,123046.0,123167.0,128624.0,127475.0,129681.0,124154.0,118755.0,120856.0,121494.0,120476.0,120911.0,124493.0,138370.0,135251.0,131963.0,119053.0
394614,466,"Frankfort, KY",msa,KY,136691.0,142262.0,142570.0,142487.0,142492.0,142572.0,141263.0,144705.0,144300.0,147230.0,147425.0,150109.0,149789.0,152594.0,156279.0,155579.0,153629.0,154023.0,161409.0,164977.0,168904.0,162299.0,164334.0,164079.0,168568.0,171419.0,173025.0,173397.0,173372.0,173762.0,180064.0,178495.0,178635.0,177922.0,182474.0,186614.0,191405.0,189011.0,185848.0,189378.0,196209.0,197668.0,197622.0,198099.0,201210.0,202848.0,208484.0,221042.0,214019.0,216261.0,213780.0,222292.0,224457.0
394744,467,"Key West, FL",msa,FL,508969.0,513184.0,540735.0,544277.0,531496.0,526486.0,527625.0,545949.0,530319.0,537189.0,523628.0,536123.0,520597.0,524370.0,513156.0,536532.0,554794.0,563252.0,560828.0,548840.0,554808.0,563223.0,565223.0,582475.0,589391.0,608893.0,627661.0,623957.0,631977.0,616167.0,646248.0,664006.0,667378.0,679994.0,690018.0,716697.0,698252.0,695068.0,702903.0,740030.0,769544.0,775940.0,776262.0,774187.0,789439.0,845907.0,868833.0,886255.0,862110.0,850888.0,856162.0,844072.0,845621.0
395062,468,"Sandusky, OH",msa,OH,117591.0,112639.0,125189.0,134504.0,142458.0,139825.0,130697.0,132801.0,128035.0,137544.0,138407.0,138604.0,131043.0,131519.0,132236.0,134054.0,133265.0,145238.0,149904.0,149581.0,157335.0,152535.0,160654.0,150888.0,164466.0,158747.0,157865.0,152540.0,164870.0,164502.0,160039.0,147632.0,150728.0,152311.0,158780.0,164016.0,169012.0,167077.0,158170.0,165958.0,175741.0,175611.0,174699.0,167646.0,168393.0,165961.0,174730.0,185401.0,184883.0,175584.0,172036.0,171194.0,176148.0
395088,469,"Shawnee, OK",msa,OK,121487.0,134470.0,126910.0,129146.0,130725.0,148197.0,138433.0,136588.0,134194.0,136393.0,136451.0,125653.0,126488.0,124391.0,135308.0,130965.0,130802.0,128715.0,146563.0,158514.0,164238.0,162108.0,160308.0,152735.0,158193.0,154041.0,151475.0,150868.0,151381.0,163941.0,157225.0,159109.0,158562.0,169570.0,170403.0,172999.0,163389.0,155113.0,151735.0,158030.0,164874.0,169620.0,169341.0,172102.0,173715.0,176020.0,173231.0,173468.0,171854.0,169631.0,164757.0,163539.0,165994.0
395106,470,"Somerset, PA",msa,PA,120931.0,120980.0,122970.0,121718.0,121056.0,120248.0,123605.0,131362.0,127284.0,127753.0,120851.0,122885.0,114118.0,119285.0,131384.0,149078.0,146672.0,137412.0,123598.0,121339.0,121835.0,125984.0,135363.0,142183.0,153512.0,151929.0,159877.0,162267.0,164448.0,156571.0,164125.0,171535.0,178529.0,172333.0,170053.0,173708.0,176160.0,185048.0,180704.0,169104.0,165595.0,165520.0,168893.0,189610.0,184136.0,198438.0,170462.0,187562.0,181976.0,187227.0,183138.0,178404.0,175849.0
753928,472,"Wisconsin Rapids, WI",msa,WI,121685.0,123520.0,125013.0,129436.0,123185.0,111650.0,108853.0,106472.0,116147.0,119620.0,127870.0,124200.0,122543.0,120500.0,128445.0,128383.0,132000.0,125975.0,118908.0,116900.0,120268.0,134818.0,136804.0,136483.0,127579.0,126927.0,126254.0,128071.0,128065.0,133623.0,138834.0,147426.0,145933.0,146741.0,145429.0,150911.0,156175.0,158764.0,154633.0,147388.0,152286.0,155455.0,168494.0,163294.0,171987.0,171377.0,173282.0,172682.0,169858.0,174272.0,171406.0,169903.0,166406.0
394699,473,"Huntsville, TX",msa,TX,162403.0,163131.0,166122.0,166694.0,161620.0,161019.0,168775.0,183745.0,189362.0,190979.0,189959.0,180997.0,179796.0,179241.0,176535.0,187147.0,180360.0,195551.0,180151.0,182077.0,181491.0,185468.0,189304.0,186665.0,194662.0,197167.0,201120.0,204084.0,207114.0,207242.0,214635.0,217482.0,222581.0,220991.0,217429.0,226129.0,225020.0,236762.0,241149.0,249877.0,246814.0,244945.0,242416.0,241173.0,238207.0,244125.0,248322.0,248057.0,252544.0,261129.0,261892.0,245881.0,234598.0
394736,474,"Kapaa, HI",msa,HI,588605.0,621288.0,622463.0,660291.0,601933.0,622447.0,616219.0,606033.0,611991.0,610702.0,626275.0,612761.0,624632.0,635612.0,629939.0,646419.0,673610.0,694180.0,732792.0,744708.0,730975.0,673939.0,631287.0,657274.0,672485.0,714120.0,726266.0,734485.0,745250.0,756260.0,784478.0,799438.0,774543.0,801886.0,808981.0,818576.0,781401.0,783713.0,828077.0,852077.0,869426.0,844619.0,905887.0,886326.0,926941.0,894998.0,902976.0,963331.0,930126.0,930655.0,859852.0,885669.0,895173.0
394655,478,"Greenwood, SC",msa,SC,120114.0,123483.0,124165.0,121322.0,132162.0,128612.0,128259.0,122089.0,124853.0,132790.0,131911.0,131111.0,130151.0,135599.0,128884.0,131611.0,131005.0,142542.0,155217.0,155861.0,156413.0,145809.0,148194.0,147723.0,147746.0,148683.0,159487.0,153944.0,161324.0,160573.0,174062.0,178249.0,172486.0,174970.0,166698.0,169058.0,165946.0,171400.0,172522.0,176440.0,167784.0,172870.0,173140.0,174731.0,171122.0,167838.0,176059.0,189344.0,191607.0,191717.0,187105.0,192875.0,191637.0
